action = 0;action = 60;action = 120;action = 180;action = 240;action = 300
0.0116;0.1904;0.2124;0.2428;0.1872;0.1556
0.0092;0.1888;0.2152;0.2436;0.1892;0.154
0.01;0.1908;0.2108;0.244;0.1888;0.1556
0.008;0.19;0.2112;0.2456;0.19;0.1552
0.01;0.1888;0.2108;0.2476;0.1872;0.1556
0.0084;0.1892;0.2128;0.2488;0.1852;0.1556
0.0108;0.1868;0.2116;0.2456;0.1896;0.1556
0.0052;0.1916;0.2144;0.2476;0.1864;0.1548
0.008;0.1868;0.2132;0.2484;0.1904;0.1532
0.0088;0.1872;0.2116;0.2484;0.1912;0.1528
0.012;0.1864;0.2116;0.2476;0.1884;0.154
0.012;0.1884;0.208;0.2472;0.1896;0.1548
0.0084;0.1872;0.2096;0.248;0.1932;0.1536
0.0112;0.1876;0.2116;0.2492;0.1904;0.15
0.0076;0.1872;0.2096;0.2552;0.1892;0.1512
0.0108;0.1844;0.2084;0.2472;0.1932;0.156
0.006;0.1896;0.2096;0.25;0.1896;0.1552
0.0104;0.1876;0.212;0.2456;0.1908;0.1536
0.0092;0.1892;0.2064;0.2476;0.1936;0.154
0.0088;0.1896;0.2076;0.2456;0.1956;0.1528
0.0088;0.19;0.2076;0.2512;0.1892;0.1532
0.0108;0.188;0.2096;0.2468;0.1908;0.154
0.0108;0.1856;0.2076;0.2536;0.1888;0.1536
0.0076;0.182;0.2168;0.2484;0.1916;0.1536
0.0084;0.1872;0.2112;0.2488;0.1884;0.156
0.0068;0.1856;0.212;0.2508;0.1904;0.1544
0.0092;0.1872;0.2096;0.248;0.1916;0.1544
0.0088;0.188;0.21;0.2472;0.1924;0.1536
0.0088;0.188;0.2076;0.2472;0.1936;0.1548
0.008;0.1872;0.2128;0.2456;0.1904;0.156
0.0076;0.1848;0.2144;0.248;0.1908;0.1544
0.0088;0.1876;0.21;0.2448;0.1908;0.158
0.0104;0.1868;0.2104;0.25;0.1852;0.1572
0.0088;0.188;0.2072;0.2508;0.1892;0.156
0.0084;0.194;0.2052;0.2492;0.1884;0.1548
0.0072;0.186;0.2104;0.2492;0.19;0.1572
0.0088;0.186;0.2116;0.2532;0.1872;0.1532
0.0112;0.1848;0.2104;0.2524;0.1876;0.1536
0.0112;0.184;0.208;0.254;0.1892;0.1536
0.0084;0.184;0.2072;0.2548;0.188;0.1576
0.01;0.184;0.2112;0.2544;0.1844;0.156
0.0104;0.1852;0.2088;0.2564;0.1856;0.1536
0.0072;0.186;0.2088;0.2516;0.1904;0.156
0.0092;0.1872;0.208;0.2512;0.1896;0.1548
0.0076;0.1836;0.2064;0.2552;0.1908;0.1564
0.0088;0.188;0.21;0.2496;0.1896;0.154
0.008;0.1888;0.2072;0.254;0.1888;0.1532
0.01;0.1848;0.2052;0.2552;0.188;0.1568
0.0092;0.19;0.2072;0.2532;0.1888;0.1516
0.0092;0.1888;0.206;0.2536;0.1888;0.1536
0.0104;0.1904;0.206;0.2524;0.1888;0.152
0.0088;0.1904;0.2064;0.252;0.1916;0.1508
0.0076;0.1912;0.2072;0.2568;0.1868;0.1504
0.01;0.1892;0.2064;0.2532;0.1904;0.1508
0.0092;0.1904;0.2032;0.2504;0.1936;0.1532
0.006;0.194;0.2056;0.25;0.1908;0.1536
0.0116;0.186;0.2108;0.254;0.1872;0.1504
0.0076;0.19;0.2032;0.2568;0.1912;0.1512
0.0088;0.1936;0.2036;0.2512;0.1908;0.152
0.0088;0.1892;0.2056;0.254;0.1936;0.1488
0.0104;0.19;0.2052;0.254;0.1888;0.1516
0.0128;0.186;0.208;0.2488;0.1876;0.1568
0.0092;0.19;0.2056;0.2492;0.1952;0.1508
0.0076;0.1884;0.2096;0.2548;0.19;0.1496
0.0104;0.1904;0.2056;0.256;0.1904;0.1472
0.008;0.192;0.204;0.2556;0.1896;0.1508
0.0072;0.1892;0.2036;0.2576;0.1904;0.152
0.01;0.188;0.21;0.2528;0.1908;0.1484
0.0104;0.1896;0.2016;0.2548;0.192;0.1516
0.0092;0.1892;0.2044;0.26;0.19;0.1472
0.006;0.1884;0.2036;0.2584;0.1912;0.1524
0.01;0.1916;0.2016;0.2564;0.1924;0.148
0.0096;0.19;0.204;0.2564;0.19;0.15
0.0144;0.1888;0.2024;0.2572;0.1888;0.1484
0.008;0.1876;0.2004;0.2648;0.1892;0.15
0.0124;0.1876;0.2024;0.2572;0.1924;0.148
0.01;0.1864;0.2036;0.2584;0.1944;0.1472
0.0092;0.1892;0.2072;0.2576;0.1916;0.1452
0.0104;0.1908;0.2036;0.258;0.19;0.1472
0.0088;0.1892;0.2016;0.2588;0.1912;0.1504
0.0096;0.1856;0.204;0.26;0.1948;0.146
0.0076;0.1864;0.2036;0.2596;0.194;0.1488
0.008;0.1856;0.2044;0.26;0.1928;0.1492
0.0132;0.1848;0.2068;0.26;0.1888;0.1464
0.0064;0.182;0.2064;0.262;0.1928;0.1504
0.01;0.1852;0.2064;0.2612;0.1932;0.144
0.0132;0.1872;0.2032;0.2576;0.1908;0.148
0.0132;0.1848;0.2088;0.2564;0.1928;0.144
0.0096;0.1864;0.2048;0.2576;0.1936;0.148
0.01;0.1864;0.2104;0.2592;0.1888;0.1452
0.0116;0.1816;0.2048;0.2636;0.1936;0.1448
0.0112;0.1812;0.2048;0.2564;0.1988;0.1476
0.0104;0.1804;0.2044;0.2592;0.1952;0.1504
0.01;0.184;0.2088;0.2568;0.1944;0.146
0.0096;0.1828;0.2076;0.2564;0.1916;0.152
0.0096;0.1792;0.2108;0.2568;0.1956;0.148
0.0076;0.184;0.2072;0.2588;0.1944;0.148
0.0076;0.1828;0.2124;0.2552;0.1924;0.1496
0.0116;0.188;0.206;0.2516;0.1952;0.1476
0.0116;0.1788;0.2108;0.2532;0.1952;0.1504
0.0116;0.1848;0.2056;0.2552;0.196;0.1468
0.0112;0.184;0.2044;0.258;0.1968;0.1456
0.0116;0.182;0.2084;0.2544;0.1968;0.1468
0.0112;0.1836;0.2068;0.2556;0.1988;0.144
0.0132;0.1868;0.2056;0.2556;0.1956;0.1432
0.0124;0.1864;0.2028;0.2544;0.1992;0.1448
0.0116;0.1852;0.2032;0.2536;0.1988;0.1476
0.0112;0.1856;0.2064;0.25;0.2004;0.1464
