action = 0;action = 60;action = 120;action = 180;action = 240;action = 300
0.0156;0.1784;0.2144;0.282;0.1668;0.1428
0.0184;0.1772;0.2164;0.2788;0.1644;0.1448
0.0168;0.176;0.2216;0.2776;0.168;0.14
0.0148;0.1728;0.22;0.28;0.164;0.1484
0.014;0.1712;0.2212;0.2876;0.1628;0.1432
0.0172;0.1748;0.2156;0.2828;0.1692;0.1404
0.0188;0.172;0.2204;0.2844;0.1632;0.1412
0.018;0.174;0.2216;0.2848;0.1584;0.1432
0.0144;0.1748;0.2168;0.29;0.1656;0.1384
0.0156;0.1752;0.2228;0.2864;0.1572;0.1428
0.014;0.172;0.2248;0.2824;0.1636;0.1432
0.0156;0.1688;0.2248;0.2884;0.16;0.1424
0.0176;0.164;0.2248;0.2888;0.1616;0.1432
0.0164;0.1708;0.2176;0.2904;0.1628;0.142
0.0124;0.1756;0.2204;0.2844;0.164;0.1432
0.0176;0.1708;0.218;0.2908;0.1612;0.1416
0.0184;0.1732;0.2196;0.2872;0.1616;0.14
0.02;0.172;0.222;0.2872;0.16;0.1388
0.0148;0.1684;0.224;0.2892;0.164;0.1396
0.0144;0.172;0.2188;0.2928;0.1592;0.1428
0.0204;0.1704;0.2156;0.2916;0.1648;0.1372
0.016;0.1748;0.2164;0.2892;0.162;0.1416
0.0144;0.172;0.222;0.2848;0.1636;0.1432
0.018;0.1668;0.2212;0.2864;0.1672;0.1404
0.0148;0.1708;0.2244;0.2904;0.1612;0.1384
0.0128;0.172;0.2208;0.2892;0.1612;0.144
0.0172;0.1716;0.2208;0.286;0.1652;0.1392
0.0152;0.1684;0.2216;0.2892;0.1648;0.1408
0.016;0.1696;0.226;0.2864;0.1656;0.1364
0.0148;0.1688;0.2228;0.2888;0.162;0.1428
0.0168;0.1688;0.2184;0.2896;0.1688;0.1376
0.0144;0.1688;0.2168;0.2948;0.1712;0.134
0.016;0.1748;0.2152;0.2908;0.1668;0.1364
0.0136;0.1712;0.2196;0.29;0.1676;0.138
0.0148;0.1696;0.2224;0.2948;0.1616;0.1368
0.0132;0.1736;0.2184;0.2916;0.1668;0.1364
0.0184;0.1696;0.2164;0.294;0.1656;0.136
0.0156;0.1704;0.2176;0.2932;0.1664;0.1368
0.0124;0.1684;0.2192;0.2916;0.1696;0.1388
0.0176;0.166;0.2216;0.2892;0.1676;0.138
0.0156;0.166;0.2192;0.2952;0.1704;0.1336
0.0136;0.17;0.22;0.2936;0.1664;0.1364
0.0104;0.1712;0.2196;0.2936;0.172;0.1332
0.0144;0.1672;0.2212;0.2936;0.1712;0.1324
0.0172;0.1684;0.2232;0.2948;0.164;0.1324
0.0156;0.166;0.2212;0.2932;0.1696;0.1344
0.0116;0.1624;0.2168;0.2996;0.1704;0.1392
0.0124;0.1636;0.2216;0.2992;0.1684;0.1348
0.0152;0.1688;0.2172;0.302;0.1652;0.1316
0.0164;0.1624;0.2184;0.3016;0.1676;0.1336
0.0136;0.16;0.222;0.3036;0.1696;0.1312
0.016;0.166;0.22;0.2972;0.1728;0.128
0.0152;0.1648;0.218;0.3004;0.1724;0.1292
0.0152;0.1636;0.2184;0.3016;0.1696;0.1316
0.0112;0.1648;0.2196;0.302;0.174;0.1284
0.016;0.1636;0.2152;0.3;0.1772;0.128
0.0168;0.1668;0.2152;0.2952;0.1724;0.1336
0.0124;0.1616;0.2168;0.3052;0.172;0.132
0.0124;0.1636;0.2184;0.3072;0.1652;0.1332
0.0164;0.1672;0.2196;0.298;0.166;0.1328
0.0168;0.1668;0.2112;0.3048;0.1688;0.1316
0.0112;0.164;0.2112;0.3096;0.1728;0.1312
0.012;0.1616;0.2188;0.3068;0.1712;0.1296
0.0136;0.164;0.222;0.3056;0.166;0.1288
0.01;0.164;0.2132;0.3092;0.1704;0.1332
0.0148;0.1612;0.2188;0.302;0.1712;0.132
0.0132;0.1576;0.2152;0.3092;0.1724;0.1324
0.0124;0.1584;0.2196;0.3092;0.1712;0.1292
0.0132;0.1624;0.216;0.308;0.1688;0.1316
0.0136;0.1616;0.2128;0.304;0.1696;0.1384
0.0144;0.1624;0.2132;0.3112;0.166;0.1328
0.0132;0.1624;0.2136;0.3044;0.1728;0.1336
0.0168;0.1576;0.2216;0.3016;0.1688;0.1336
0.0164;0.1616;0.2172;0.3052;0.1672;0.1324
0.0144;0.1624;0.2152;0.3084;0.1672;0.1324
0.0168;0.1588;0.2156;0.3068;0.1708;0.1312
0.0172;0.1612;0.2148;0.308;0.1684;0.1304
0.0132;0.1596;0.218;0.3064;0.1704;0.1324
0.0164;0.16;0.218;0.3032;0.1684;0.134
0.014;0.1624;0.2176;0.3048;0.1688;0.1324
0.0148;0.1624;0.218;0.31;0.1664;0.1284
0.0176;0.1612;0.2176;0.3056;0.168;0.13
0.0124;0.1624;0.2176;0.3084;0.1704;0.1288
0.014;0.158;0.2164;0.3128;0.1672;0.1316
0.0116;0.1564;0.2212;0.3124;0.17;0.1284
0.0136;0.1576;0.2196;0.312;0.1668;0.1304
0.014;0.1612;0.22;0.3112;0.1656;0.128
0.0172;0.1592;0.2168;0.312;0.1676;0.1272
0.0156;0.158;0.218;0.3156;0.1676;0.1252
0.0156;0.158;0.216;0.3156;0.1668;0.128
0.0124;0.1572;0.2204;0.3144;0.1684;0.1272
0.018;0.1592;0.2176;0.3152;0.1644;0.1256
0.016;0.1584;0.2196;0.3132;0.1632;0.1296
0.0128;0.1616;0.2196;0.3096;0.1656;0.1308
0.0128;0.1552;0.2196;0.3136;0.1724;0.1264
0.0156;0.1536;0.2212;0.3168;0.1656;0.1272
0.0156;0.1572;0.22;0.3104;0.1676;0.1292
0.0176;0.1536;0.2156;0.316;0.1684;0.1288
0.014;0.1548;0.2236;0.314;0.1648;0.1288
0.0116;0.1576;0.222;0.3152;0.1672;0.1264
0.0168;0.1568;0.2224;0.3124;0.1632;0.1284
0.0124;0.1516;0.2224;0.3184;0.166;0.1292
0.016;0.1572;0.2204;0.3132;0.162;0.1312
0.0152;0.1508;0.2248;0.314;0.1628;0.1324
0.014;0.1508;0.224;0.3148;0.1644;0.132
0.016;0.156;0.2204;0.3164;0.1632;0.128
0.018;0.1504;0.2232;0.318;0.1596;0.1308
0.014;0.1512;0.2212;0.3176;0.1672;0.1288
0.0132;0.1552;0.2196;0.3208;0.1624;0.1288
0.0136;0.152;0.2248;0.3156;0.1656;0.1284
0.016;0.1532;0.2212;0.3212;0.1624;0.126
0.0196;0.156;0.2188;0.3192;0.1596;0.1268
0.0176;0.1572;0.2196;0.322;0.16;0.1236
0.016;0.1532;0.2212;0.324;0.1564;0.1292
0.0144;0.1576;0.2188;0.3248;0.1592;0.1252
0.0152;0.156;0.2224;0.322;0.1604;0.124
0.0144;0.1512;0.2204;0.3288;0.1624;0.1228
