C = 3;C = 5;C = 8
5.28000;10.36000;21.20000
4.96000;11.76000;21.12000
5.24000;11.32000;22.16000
5.48000;12.24000;22.16000
6.00000;11.08000;22.52000
6.16000;11.24000;23.36000
5.96000;10.80000;23.40000
5.72000;10.72000;20.80000
5.72000;10.80000;21.92000
5.20000;11.04000;22.00000
5.64000;10.72000;21.68000
6.16000;10.64000;23.08000
5.96000;11.08000;23.36000
6.56000;11.04000;22.12000
6.76000;11.72000;22.48000
6.92000;11.48000;22.04000
6.44000;10.84000;21.64000
6.52000;10.68000;23.12000
6.52000;10.52000;22.60000
6.76000;11.68000;23.40000
6.48000;10.72000;21.80000
6.12000;10.44000;22.92000
6.40000;11.08000;23.08000
6.52000;11.84000;21.72000
6.96000;11.68000;23.60000
6.20000;12.40000;22.96000
5.84000;11.72000;22.60000
6.20000;11.76000;22.76000
6.60000;10.68000;22.16000
5.88000;11.28000;21.92000
6.12000;11.08000;22.08000
5.96000;11.08000;21.92000
6.40000;11.60000;21.28000
6.32000;11.60000;22.12000
6.04000;11.96000;22.68000
6.36000;11.84000;22.40000
6.76000;11.56000;21.52000
6.72000;10.96000;21.52000
7.00000;11.00000;21.68000
6.56000;11.56000;22.68000
6.92000;11.72000;22.80000
7.28000;11.00000;22.44000
6.64000;11.68000;22.16000
6.76000;11.84000;22.12000
6.36000;12.20000;22.20000
6.16000;11.48000;22.00000
6.60000;11.40000;23.04000
6.64000;10.72000;21.08000
6.72000;11.24000;22.12000
6.56000;10.88000;21.80000
7.00000;11.12000;21.92000
6.84000;11.16000;22.84000
6.08000;11.32000;21.80000
5.80000;11.36000;22.24000
5.16000;10.36000;21.80000
5.04000;11.40000;21.80000
5.24000;11.76000;22.08000
5.28000;12.00000;21.40000
5.36000;11.48000;21.72000
5.80000;12.08000;22.64000
5.72000;12.56000;21.40000
5.44000;11.84000;21.04000
5.68000;11.44000;21.36000
5.96000;10.84000;21.28000
5.96000;11.40000;20.84000
6.32000;10.60000;21.64000
6.76000;11.04000;21.92000
6.36000;11.64000;22.68000
6.40000;11.68000;22.92000
6.48000;11.80000;22.60000
7.56000;11.76000;22.72000
7.60000;11.80000;22.16000
7.44000;12.20000;23.20000
6.96000;10.92000;22.68000
6.88000;10.88000;22.16000
7.28000;10.64000;21.88000
7.52000;11.20000;22.20000
7.08000;11.76000;22.32000
6.64000;10.64000;21.92000
6.60000;10.76000;22.28000
6.36000;10.60000;22.68000
5.88000;10.80000;22.04000
6.12000;10.76000;21.96000
5.84000;11.48000;22.16000
6.04000;12.40000;21.68000
6.08000;12.44000;22.04000
5.84000;12.04000;21.92000
5.96000;11.88000;22.64000
