action = 0;action = 60;action = 120;action = 180;action = 240;action = 300
0.004;0.208;0.188;0.224;0.192;0.184
0.008;0.196;0.188;0.228;0.192;0.188
0.004;0.2;0.184;0.228;0.188;0.196
0.004;0.2;0.18;0.232;0.196;0.188
0.016;0.196;0.184;0.228;0.192;0.184
0.004;0.192;0.184;0.236;0.192;0.192
0.004;0.196;0.184;0.232;0.196;0.188
0.008;0.196;0.188;0.228;0.2;0.18
0;0.204;0.184;0.228;0.2;0.184
0;0.204;0.184;0.232;0.2;0.18
0.008;0.2;0.184;0.232;0.192;0.184
0.012;0.204;0.184;0.232;0.184;0.184
0;0.2;0.188;0.236;0.196;0.18
0;0.204;0.184;0.236;0.192;0.184
0.008;0.204;0.184;0.228;0.192;0.184
0.012;0.2;0.192;0.22;0.192;0.184
0.008;0.208;0.188;0.228;0.184;0.184
0;0.2;0.2;0.232;0.188;0.18
0;0.2;0.184;0.24;0.192;0.184
0.004;0.2;0.192;0.232;0.188;0.184
0;0.2;0.192;0.228;0.192;0.188
0.008;0.2;0.188;0.228;0.192;0.184
0;0.204;0.192;0.232;0.188;0.184
0;0.2;0.2;0.228;0.192;0.18
0.004;0.212;0.192;0.224;0.188;0.18
0;0.208;0.188;0.232;0.184;0.188
0.008;0.188;0.188;0.24;0.192;0.184
0;0.2;0.196;0.236;0.188;0.18
0.008;0.196;0.188;0.232;0.192;0.184
0.008;0.196;0.196;0.228;0.192;0.18
0.008;0.2;0.192;0.228;0.188;0.184
0;0.196;0.184;0.24;0.196;0.184
0.004;0.2;0.188;0.224;0.192;0.192
0.008;0.2;0.184;0.228;0.192;0.188
0;0.204;0.2;0.224;0.192;0.18
0.004;0.204;0.188;0.236;0.188;0.18
0;0.2;0.184;0.24;0.192;0.184
0.008;0.2;0.188;0.228;0.192;0.184
0.004;0.2;0.188;0.24;0.192;0.176
0;0.2;0.192;0.228;0.196;0.184
0.008;0.196;0.188;0.228;0.192;0.188
0;0.204;0.188;0.232;0.192;0.184
0;0.204;0.196;0.232;0.184;0.184
0;0.208;0.188;0.232;0.192;0.18
0.008;0.204;0.184;0.224;0.196;0.184
0.004;0.204;0.188;0.228;0.192;0.184
0.008;0.2;0.188;0.228;0.192;0.184
0.004;0.2;0.192;0.232;0.188;0.184
0.004;0.196;0.196;0.228;0.196;0.18
0.004;0.196;0.188;0.232;0.196;0.184
0;0.196;0.188;0.236;0.196;0.184
0.02;0.196;0.188;0.22;0.192;0.184
0;0.196;0.188;0.236;0.2;0.18
0;0.2;0.188;0.232;0.196;0.184
0;0.2;0.192;0.228;0.196;0.184
0.008;0.196;0.188;0.232;0.196;0.18
0.004;0.196;0.188;0.232;0.192;0.188
0;0.2;0.188;0.232;0.196;0.184
0.004;0.196;0.196;0.228;0.2;0.176
0.004;0.196;0.188;0.236;0.196;0.18
0.004;0.192;0.196;0.232;0.188;0.188
0;0.196;0.192;0.236;0.188;0.188
0.004;0.196;0.188;0.232;0.196;0.184
0.008;0.2;0.184;0.232;0.196;0.18
0;0.196;0.188;0.232;0.2;0.184
0.008;0.196;0.192;0.232;0.184;0.188
0.004;0.196;0.184;0.228;0.204;0.184
0;0.204;0.188;0.236;0.192;0.18
0.008;0.196;0.192;0.228;0.192;0.184
0;0.2;0.188;0.236;0.192;0.184
0.008;0.2;0.18;0.232;0.192;0.188
0.004;0.2;0.184;0.228;0.196;0.188
0;0.204;0.188;0.232;0.188;0.188
0;0.204;0.188;0.228;0.192;0.188
0;0.192;0.192;0.232;0.192;0.192
0;0.2;0.184;0.232;0.2;0.184
0;0.196;0.188;0.236;0.192;0.188
0.004;0.196;0.184;0.236;0.192;0.188
0;0.204;0.184;0.232;0.192;0.188
0;0.196;0.18;0.236;0.2;0.188
0.004;0.204;0.18;0.232;0.196;0.184
0;0.204;0.184;0.232;0.192;0.188
0.004;0.204;0.172;0.236;0.192;0.192
0.004;0.196;0.184;0.228;0.2;0.188
0.004;0.2;0.184;0.232;0.192;0.188
0.004;0.204;0.184;0.228;0.192;0.188
0.004;0.204;0.184;0.236;0.188;0.184
0.008;0.2;0.18;0.232;0.192;0.188
0;0.2;0.184;0.224;0.2;0.192
0;0.2;0.184;0.236;0.192;0.188
0;0.2;0.184;0.232;0.196;0.188
0;0.2;0.184;0.236;0.196;0.184
0.008;0.196;0.184;0.236;0.188;0.188
0.004;0.2;0.192;0.228;0.192;0.184
0;0.196;0.188;0.228;0.204;0.184
0;0.204;0.184;0.228;0.196;0.188
0.004;0.2;0.176;0.24;0.196;0.184
0.004;0.2;0.188;0.236;0.196;0.176
0;0.2;0.192;0.232;0.196;0.18
0.008;0.196;0.184;0.232;0.196;0.184
0.004;0.204;0.184;0.232;0.192;0.184
0;0.204;0.184;0.236;0.188;0.188
0.004;0.208;0.184;0.22;0.2;0.184
0;0.2;0.188;0.232;0.192;0.188
0.004;0.204;0.188;0.228;0.188;0.188
0.004;0.2;0.188;0.228;0.192;0.188
0.008;0.2;0.184;0.228;0.196;0.184
0.004;0.212;0.184;0.228;0.188;0.184
0;0.204;0.18;0.224;0.204;0.188
0.008;0.204;0.188;0.228;0.196;0.176
0;0.208;0.18;0.232;0.192;0.188
0.004;0.204;0.188;0.232;0.192;0.18
0;0.204;0.192;0.224;0.196;0.184
0;0.204;0.184;0.24;0.192;0.18
0;0.204;0.184;0.224;0.204;0.184
0.012;0.208;0.188;0.228;0.192;0.172
0;0.204;0.184;0.232;0.196;0.184
0.008;0.2;0.184;0.224;0.204;0.18
0.008;0.2;0.176;0.232;0.196;0.188
0;0.204;0.184;0.236;0.192;0.184
0.004;0.204;0.184;0.232;0.192;0.184
0.004;0.2;0.188;0.228;0.196;0.184
0.004;0.212;0.184;0.22;0.192;0.188
0.008;0.2;0.184;0.228;0.196;0.184
0.008;0.204;0.184;0.22;0.192;0.192
0;0.208;0.188;0.22;0.196;0.188
0.004;0.208;0.192;0.224;0.188;0.184
0;0.204;0.184;0.228;0.2;0.184
0.012;0.2;0.184;0.228;0.196;0.18
0;0.2;0.18;0.232;0.188;0.2
0;0.2;0.184;0.232;0.192;0.192
0;0.196;0.188;0.232;0.192;0.192
0.008;0.196;0.176;0.236;0.192;0.192
0;0.208;0.18;0.232;0.192;0.188
0;0.2;0.188;0.224;0.2;0.188
0;0.2;0.184;0.232;0.2;0.184
0.008;0.212;0.18;0.22;0.184;0.196
0;0.2;0.184;0.228;0.2;0.188
0.004;0.2;0.18;0.232;0.192;0.192
0;0.204;0.18;0.228;0.192;0.196
0;0.2;0.192;0.228;0.192;0.188
0.004;0.204;0.18;0.228;0.196;0.188
0;0.208;0.18;0.232;0.192;0.188
0;0.204;0.18;0.224;0.204;0.188
0;0.2;0.18;0.228;0.204;0.188
0;0.204;0.184;0.224;0.2;0.188
0;0.208;0.18;0.228;0.2;0.184
0;0.2;0.18;0.228;0.2;0.192
0.004;0.2;0.188;0.228;0.188;0.192
0;0.196;0.18;0.236;0.2;0.188
0;0.204;0.188;0.224;0.196;0.188
0;0.204;0.18;0.232;0.196;0.188
0;0.204;0.18;0.228;0.196;0.192
0.004;0.2;0.184;0.228;0.2;0.184
0.004;0.204;0.18;0.228;0.192;0.192
0;0.196;0.18;0.228;0.204;0.192
0.008;0.196;0.184;0.228;0.196;0.188
0.008;0.196;0.18;0.228;0.204;0.184
0.004;0.196;0.18;0.228;0.2;0.192
0;0.204;0.176;0.228;0.2;0.192
0;0.196;0.184;0.232;0.2;0.188
0.008;0.196;0.184;0.224;0.196;0.192
0;0.208;0.18;0.228;0.192;0.192
0;0.2;0.18;0.232;0.2;0.188
0.004;0.2;0.184;0.228;0.192;0.192
0.004;0.2;0.18;0.232;0.192;0.192
0.008;0.2;0.18;0.22;0.196;0.196
0;0.2;0.184;0.224;0.196;0.196
0;0.204;0.18;0.228;0.196;0.192
0;0.2;0.18;0.224;0.196;0.2
0;0.204;0.18;0.224;0.196;0.196
0.008;0.192;0.18;0.22;0.204;0.196
0.004;0.2;0.184;0.228;0.196;0.188
0;0.2;0.184;0.228;0.196;0.192
0;0.196;0.184;0.224;0.204;0.192
0.004;0.2;0.18;0.224;0.2;0.192
0.004;0.196;0.184;0.224;0.196;0.196
0;0.204;0.18;0.22;0.2;0.196
0;0.204;0.188;0.22;0.196;0.192
0;0.2;0.172;0.236;0.2;0.192
