action = 0;action = 60;action = 120;action = 180;action = 240;action = 300
0.0164;0.1736;0.2304;0.2544;0.1908;0.1344
0.0168;0.1784;0.2276;0.2504;0.1912;0.1356
0.014;0.1744;0.2312;0.2524;0.1904;0.1376
0.0176;0.1744;0.2296;0.2536;0.1896;0.1352
0.02;0.1756;0.2292;0.2528;0.1904;0.132
0.0176;0.1724;0.2296;0.2564;0.1872;0.1368
0.022;0.1736;0.232;0.2524;0.1872;0.1328
0.018;0.1736;0.2288;0.2548;0.1932;0.1316
0.0168;0.1756;0.2312;0.2536;0.188;0.1348
0.0184;0.1756;0.23;0.2556;0.184;0.1364
0.0184;0.1716;0.2344;0.258;0.1904;0.1272
0.0164;0.1816;0.2332;0.2496;0.1872;0.132
0.0208;0.1744;0.2368;0.2548;0.1872;0.126
0.0108;0.1788;0.2364;0.2548;0.1864;0.1328
0.0156;0.1748;0.2348;0.2552;0.1832;0.1364
0.0124;0.1744;0.2396;0.2556;0.186;0.132
0.0204;0.1684;0.2332;0.2568;0.1892;0.132
0.0188;0.1728;0.2336;0.2564;0.186;0.1324
0.0184;0.1736;0.2356;0.254;0.19;0.1284
0.0148;0.1708;0.24;0.2576;0.1884;0.1284
0.0256;0.172;0.2284;0.2612;0.1824;0.1304
0.0172;0.172;0.2336;0.2608;0.1848;0.1316
0.0164;0.1716;0.2376;0.2584;0.1884;0.1276
0.0164;0.164;0.238;0.2628;0.1872;0.1316
0.0172;0.1696;0.2368;0.2604;0.1812;0.1348
0.0256;0.1624;0.238;0.2648;0.1812;0.128
0.0164;0.1652;0.2376;0.2596;0.1868;0.1344
0.0144;0.1704;0.2356;0.26;0.1828;0.1368
0.018;0.1672;0.236;0.2648;0.1836;0.1304
0.0216;0.1676;0.242;0.2572;0.1824;0.1292
0.0172;0.1676;0.2364;0.2612;0.1892;0.1284
0.0192;0.1668;0.2332;0.2652;0.1888;0.1268
0.0164;0.1652;0.2348;0.264;0.1888;0.1308
0.0148;0.1628;0.2396;0.258;0.192;0.1328
0.0144;0.168;0.236;0.2592;0.1916;0.1308
0.0216;0.1724;0.2356;0.258;0.1876;0.1248
0.016;0.1676;0.2356;0.2596;0.1936;0.1276
0.0148;0.1648;0.2364;0.262;0.1916;0.1304
0.0212;0.174;0.2344;0.2516;0.1892;0.1296
0.0144;0.1752;0.2368;0.2552;0.1892;0.1292
0.018;0.1656;0.2372;0.2584;0.1892;0.1316
0.0148;0.17;0.2392;0.264;0.192;0.12
0.0188;0.1672;0.2384;0.256;0.1896;0.13
0.0184;0.162;0.2368;0.2596;0.1892;0.134
0.0172;0.1632;0.2448;0.2576;0.1936;0.1236
0.016;0.166;0.2388;0.2624;0.1924;0.1244
0.0192;0.1588;0.2428;0.2632;0.1892;0.1268
0.0148;0.1712;0.24;0.2572;0.1924;0.1244
0.0212;0.1628;0.2464;0.26;0.1864;0.1232
0.0176;0.1684;0.2412;0.266;0.18;0.1268
0.0196;0.1624;0.2424;0.2576;0.1908;0.1272
0.02;0.166;0.2432;0.2632;0.1844;0.1232
0.0172;0.1612;0.2388;0.2652;0.192;0.1256
0.0184;0.1648;0.2384;0.2628;0.1892;0.1264
0.0164;0.168;0.2436;0.2656;0.186;0.1204
0.0224;0.1592;0.2416;0.2692;0.1856;0.122
0.0212;0.1584;0.2372;0.2688;0.1884;0.126
0.0172;0.164;0.2432;0.2648;0.1852;0.1256
0.0172;0.1676;0.2384;0.2696;0.1864;0.1208
0.0216;0.1668;0.238;0.2648;0.1844;0.1244
0.016;0.1668;0.2376;0.2704;0.1876;0.1216
0.0204;0.164;0.2364;0.2632;0.19;0.126
0.0144;0.168;0.2424;0.2676;0.1892;0.1184
0.0224;0.1632;0.2396;0.2632;0.1904;0.1212
0.0192;0.1624;0.242;0.2636;0.1916;0.1212
0.0216;0.1672;0.2368;0.2656;0.1888;0.12
0.0224;0.1652;0.2368;0.2628;0.1908;0.122
0.018;0.1588;0.2364;0.2712;0.1932;0.1224
0.02;0.1596;0.2408;0.272;0.1888;0.1188
0.0176;0.1588;0.244;0.2652;0.192;0.1224
0.0116;0.1596;0.2396;0.2724;0.1928;0.124
0.0164;0.1588;0.2448;0.2684;0.1912;0.1204
0.0176;0.1588;0.244;0.2716;0.1872;0.1208
0.0208;0.156;0.2416;0.2732;0.1896;0.1188
0.0148;0.162;0.2428;0.2736;0.188;0.1188
0.0216;0.1552;0.2416;0.2712;0.1908;0.1196
0.0224;0.16;0.242;0.2684;0.1924;0.1148
0.0188;0.1552;0.2416;0.2704;0.1976;0.1164
0.0176;0.1528;0.244;0.2732;0.1964;0.116
0.0176;0.1492;0.2404;0.274;0.2;0.1188
0.0144;0.1572;0.2448;0.272;0.1948;0.1168
0.0152;0.158;0.2464;0.2728;0.1916;0.116
0.02;0.1516;0.2416;0.2764;0.1952;0.1152
0.0196;0.1576;0.2464;0.2716;0.1952;0.1096
0.0196;0.1556;0.2444;0.2696;0.1948;0.116
0.0148;0.1608;0.2456;0.2708;0.1928;0.1152
0.016;0.1564;0.2444;0.274;0.1976;0.1116
0.02;0.1552;0.2448;0.268;0.1948;0.1172
0.0156;0.1596;0.2468;0.2708;0.1892;0.118
0.016;0.1556;0.244;0.2748;0.1956;0.114
0.0164;0.1588;0.2416;0.2736;0.1944;0.1152
0.018;0.1564;0.2416;0.2768;0.1924;0.1148
0.018;0.16;0.2396;0.2732;0.1924;0.1168
0.0192;0.154;0.2472;0.2736;0.1952;0.1108
0.0148;0.1624;0.2432;0.2768;0.1936;0.1092
0.0236;0.1592;0.2448;0.2688;0.1892;0.1144
0.0184;0.154;0.25;0.2696;0.1964;0.1116
0.0152;0.1588;0.2444;0.274;0.19;0.1176
0.014;0.1608;0.2476;0.2704;0.1896;0.1176
0.0184;0.1572;0.2468;0.2704;0.1924;0.1148
0.0168;0.1544;0.2464;0.2764;0.194;0.112
0.0152;0.1612;0.2428;0.276;0.1888;0.116
0.0188;0.1576;0.238;0.2744;0.194;0.1172
0.0208;0.16;0.2436;0.2716;0.1888;0.1152
0.0168;0.1544;0.244;0.2732;0.1932;0.1184
0.0176;0.1576;0.238;0.2756;0.1908;0.1204
0.016;0.1556;0.2424;0.2732;0.1912;0.1216
0.016;0.1592;0.246;0.2752;0.1904;0.1132
0.022;0.1544;0.2436;0.2752;0.1916;0.1132
0.0164;0.1604;0.2448;0.272;0.1912;0.1152
0.02;0.16;0.2456;0.2736;0.1876;0.1132
0.0172;0.1504;0.2432;0.274;0.196;0.1192
0.0188;0.1596;0.2436;0.2752;0.1892;0.1136
0.0168;0.1568;0.248;0.2772;0.1884;0.1128
0.018;0.1592;0.2488;0.2696;0.1936;0.1108
0.0184;0.1592;0.2424;0.2724;0.1904;0.1172
0.0188;0.154;0.246;0.2776;0.1884;0.1152
0.0156;0.1524;0.2476;0.2732;0.1936;0.1176
0.0192;0.1552;0.2428;0.2708;0.1968;0.1152
0.0184;0.1516;0.25;0.2708;0.192;0.1172
0.0152;0.1568;0.2452;0.28;0.1916;0.1112
0.0208;0.15;0.2524;0.2744;0.1856;0.1168
0.0172;0.1564;0.2456;0.2776;0.1948;0.1084
0.0168;0.1576;0.2488;0.2728;0.19;0.114
0.018;0.1596;0.2496;0.2796;0.188;0.1052
0.018;0.1604;0.2472;0.2732;0.194;0.1072
0.0168;0.1564;0.248;0.2772;0.1924;0.1092
0.0132;0.1572;0.2516;0.272;0.1924;0.1136
0.0152;0.1576;0.2452;0.2772;0.1976;0.1072
0.0164;0.1552;0.2488;0.2816;0.1896;0.1084
0.0192;0.1496;0.2484;0.282;0.1952;0.1056
0.0164;0.1544;0.2444;0.2848;0.1876;0.1124
0.02;0.1548;0.2476;0.2812;0.1876;0.1088
0.0208;0.1564;0.248;0.2836;0.1884;0.1028
0.016;0.1604;0.2484;0.2808;0.1884;0.106
0.0172;0.1508;0.2476;0.2808;0.196;0.1076
0.0204;0.1532;0.2484;0.2752;0.1924;0.1104
0.0176;0.1536;0.2488;0.2788;0.1904;0.1108
0.0144;0.1552;0.25;0.2756;0.194;0.1108
0.0152;0.158;0.2472;0.2808;0.194;0.1048
0.02;0.1592;0.2468;0.2776;0.19;0.1064
0.0176;0.1552;0.2508;0.2784;0.1904;0.1076
0.0208;0.1568;0.2504;0.2828;0.1872;0.102
0.022;0.1532;0.2512;0.2776;0.1888;0.1072
0.0168;0.156;0.252;0.2828;0.188;0.1044
0.0216;0.1476;0.254;0.28;0.1932;0.1036
0.0208;0.156;0.2496;0.2748;0.194;0.1048
0.0164;0.1536;0.2548;0.2804;0.192;0.1028
0.0164;0.1572;0.2528;0.278;0.186;0.1096
0.0156;0.1504;0.2512;0.2836;0.1912;0.108
0.022;0.152;0.2532;0.28;0.19;0.1028
0.0204;0.1532;0.2516;0.2828;0.1888;0.1032
0.0148;0.1572;0.2544;0.2796;0.188;0.106
0.0168;0.1556;0.248;0.2896;0.1916;0.0984
0.0232;0.152;0.256;0.2788;0.1892;0.1008
0.0156;0.1536;0.2548;0.2824;0.19;0.1036
0.022;0.1476;0.2524;0.2864;0.1928;0.0988
0.0192;0.1472;0.2584;0.2816;0.192;0.1016
0.0168;0.1508;0.2524;0.2852;0.1908;0.104
0.0204;0.148;0.2504;0.2876;0.192;0.1016
0.0168;0.1552;0.2484;0.2828;0.1924;0.1044
0.0168;0.1532;0.2512;0.282;0.1956;0.1012
0.0156;0.1488;0.252;0.2876;0.1952;0.1008
0.0196;0.1448;0.2532;0.2852;0.1948;0.1024
0.0168;0.1468;0.2592;0.2856;0.194;0.0976
0.0152;0.1508;0.256;0.2856;0.1924;0.1
0.0188;0.1448;0.2504;0.2896;0.1952;0.1012
0.0152;0.1496;0.2532;0.2848;0.1944;0.1028
0.0236;0.14;0.2492;0.2872;0.1956;0.1044
0.0204;0.1512;0.2516;0.2856;0.1952;0.096
0.0172;0.1436;0.254;0.2832;0.1968;0.1052
0.0204;0.1484;0.2488;0.2856;0.1952;0.1016
0.018;0.148;0.2568;0.284;0.1936;0.0996
0.014;0.1512;0.2508;0.2828;0.1956;0.1056
