W = 50;W = 100;W = 250
29.08000;17.92000;12.00000
29.68000;16.56000;12.56000
29.76000;18.16000;11.84000
28.36000;16.04000;11.88000
27.88000;16.28000;11.40000
28.40000;16.64000;11.56000
27.88000;17.12000;11.80000
29.00000;16.88000;12.24000
27.84000;17.24000;12.72000
30.24000;16.36000;12.68000
29.12000;16.48000;12.32000
29.12000;17.56000;12.48000
28.88000;17.36000;12.64000
28.36000;18.00000;12.12000
28.68000;17.96000;11.48000
26.72000;17.20000;10.92000
28.40000;17.04000;11.16000
26.92000;17.12000;11.60000
28.56000;16.96000;11.08000
28.40000;15.40000;10.48000
28.12000;17.24000;11.08000
28.80000;17.44000;12.12000
28.84000;18.64000;12.32000
28.28000;18.84000;11.88000
29.64000;18.16000;11.68000
29.56000;16.84000;11.12000
29.84000;16.72000;12.04000
29.20000;18.00000;12.16000
28.24000;17.64000;11.84000
27.52000;17.28000;11.68000
29.12000;17.88000;10.92000
27.56000;18.08000;10.92000
27.84000;18.72000;10.16000
27.68000;17.24000;9.88000
28.24000;17.16000;10.08000
27.48000;16.60000;10.52000
29.16000;18.32000;10.64000
27.60000;17.64000;10.64000
28.44000;18.20000;10.92000
28.32000;17.52000;10.36000
30.24000;17.20000;11.76000
28.64000;17.20000;11.32000
29.04000;17.56000;12.24000
29.12000;16.68000;11.08000
29.24000;16.84000;11.24000
28.72000;18.12000;10.80000
28.68000;17.88000;10.72000
29.60000;17.48000;10.80000
29.80000;17.72000;11.04000
29.16000;18.68000;10.72000
29.84000;19.16000;10.64000
29.40000;18.52000;11.08000
29.80000;17.16000;11.04000
29.40000;17.88000;11.72000
29.16000;16.96000;11.48000
30.68000;16.52000;10.84000
30.60000;17.52000;10.68000
29.52000;18.36000;10.52000
29.96000;17.92000;11.68000
29.60000;17.64000;10.72000
29.92000;17.24000;10.44000
27.56000;17.72000;11.08000
29.28000;16.88000;11.84000
28.84000;18.12000;11.68000
28.96000;16.12000;12.40000
29.48000;16.64000;11.72000
28.64000;16.88000;11.76000
30.32000;17.32000;10.68000
28.80000;18.16000;11.28000
29.56000;17.40000;11.08000
29.28000;17.36000;11.08000
29.64000;17.08000;11.60000
27.40000;17.40000;11.60000
30.44000;17.68000;11.96000
29.00000;17.04000;11.84000
29.60000;17.52000;11.56000
29.24000;16.64000;10.96000
29.68000;16.88000;11.00000
28.88000;16.28000;11.56000
29.88000;16.28000;11.72000
29.92000;16.80000;11.00000
29.92000;17.08000;11.68000
28.72000;17.16000;11.84000
29.28000;17.28000;12.20000
27.48000;18.48000;11.48000
29.72000;17.92000;11.40000
28.84000;17.52000;10.72000
29.64000;16.76000;11.24000
29.08000;17.20000;10.88000
