action = 0;action = 60;action = 120;action = 180;action = 240;action = 300
0.0492;0.142;0.2116;0.2728;0.1928;0.1316
0.0548;0.1356;0.2112;0.272;0.1948;0.1316
0.0528;0.1352;0.2224;0.272;0.194;0.1236
0.0424;0.1396;0.2256;0.2704;0.19;0.132
0.048;0.14;0.2164;0.268;0.202;0.1256
0.0536;0.1396;0.2232;0.2552;0.2016;0.1268
0.0468;0.1332;0.2104;0.2768;0.2024;0.1304
0.0564;0.1308;0.2172;0.2624;0.1984;0.1348
0.0424;0.134;0.2284;0.2724;0.1968;0.126
0.0496;0.1324;0.226;0.276;0.1956;0.1204
0.0504;0.14;0.2148;0.2684;0.1948;0.1316
0.0548;0.1368;0.22;0.2736;0.1944;0.1204
0.0468;0.1288;0.2296;0.274;0.1992;0.1216
0.0492;0.1292;0.2184;0.2732;0.198;0.132
0.048;0.1388;0.2164;0.2768;0.1896;0.1304
0.0552;0.1276;0.2184;0.2784;0.192;0.1284
0.0504;0.1352;0.2144;0.2692;0.198;0.1328
0.0452;0.1292;0.2212;0.2748;0.2;0.1296
0.05;0.1268;0.2252;0.2712;0.198;0.1288
0.0472;0.1232;0.2216;0.2752;0.198;0.1348
0.0544;0.1252;0.2216;0.2712;0.1948;0.1328
0.05;0.1248;0.2304;0.266;0.1936;0.1352
0.0516;0.13;0.2276;0.2744;0.1852;0.1312
0.0548;0.126;0.2264;0.2604;0.208;0.1244
0.05;0.1276;0.218;0.278;0.1956;0.1308
0.046;0.1332;0.2256;0.2704;0.1956;0.1292
0.0448;0.128;0.226;0.2688;0.2;0.1324
0.0556;0.134;0.224;0.2664;0.1924;0.1276
0.046;0.1312;0.2312;0.272;0.1944;0.1252
0.0528;0.1344;0.228;0.2604;0.1972;0.1272
0.048;0.1324;0.22;0.2724;0.2012;0.126
0.0536;0.1372;0.2304;0.2684;0.1892;0.1212
0.0508;0.1348;0.224;0.2652;0.2068;0.1184
0.0432;0.1376;0.2288;0.2568;0.2076;0.126
0.054;0.1276;0.2248;0.264;0.2068;0.1228
0.0512;0.132;0.2212;0.2624;0.2124;0.1208
0.048;0.1388;0.22;0.2704;0.1972;0.1256
0.0536;0.13;0.2184;0.2704;0.1948;0.1328
0.0528;0.1308;0.2212;0.2704;0.2016;0.1232
0.0524;0.1368;0.2148;0.272;0.1968;0.1272
0.0504;0.1296;0.2188;0.274;0.2028;0.1244
0.052;0.1232;0.23;0.278;0.1932;0.1236
0.0556;0.1308;0.2188;0.2708;0.204;0.12
0.0476;0.1312;0.2224;0.2784;0.2012;0.1192
0.0476;0.136;0.2204;0.28;0.2016;0.1144
0.0496;0.1328;0.2244;0.278;0.206;0.1092
0.0476;0.136;0.2128;0.2776;0.2112;0.1148
0.0496;0.1292;0.2216;0.2808;0.2044;0.1144
0.0484;0.1436;0.218;0.2696;0.204;0.1164
0.0464;0.1276;0.2236;0.2824;0.1988;0.1212
0.0572;0.1244;0.2188;0.2876;0.1992;0.1128
0.0484;0.1372;0.2244;0.2812;0.1984;0.1104
0.048;0.1396;0.2176;0.2744;0.208;0.1124
0.0588;0.1328;0.2212;0.2728;0.2004;0.114
0.0464;0.1408;0.2264;0.2804;0.1984;0.1076
