action = 0;action = 90;action = 180;action = 270
-130.6452;-15.3659;51.0507;3.4146
-157.8125;-29.1080;48.9164;-19.7468
-138.3333;-45.7831;50.4321;-49.3827
-146.2687;-35.4680;50.4627;-40.8867
-150.6329;-19.2118;48.3632;-33.3333
-32.7586;-8.9372;50.7966;-44.4444
-120.0000;6.0976;50.1225;-20.6266
-203.4483;-5.1471;55.4144;-24.1470
-46.6667;-23.9808;52.0859;-31.5522
-140.6250;-19.2118;47.8419;-31.4286
-120.0000;-18.9904;49.8175;-11.4667
-48.0769;10.8108;40.2895;-17.7546
-158.8235;-38.5390;48.7598;-20.9424
-105.0847;-38.5185;48.0944;-34.9869
-130.6452;-36.8293;54.9511;-40.3061
-116.3934;-44.3914;54.5623;-10.5528
-116.6667;-51.8160;41.1801;-39.5939
-120.0000;-41.4286;39.7077;-25.1323
-201.6129;-12.9584;45.8359;-20.3125
-101.6667;-54.1568;49.5413;-20.3125
-151.4286;-48.6486;42.8833;0.2591
-123.7288;-34.0102;45.2670;-26.8170
-134.6667;-47.3945;39.4495;-5.1680
-234.7826;-29.0816;39.0749;-25.0000
-83.3333;-7.4550;35.6490;-54.7739
-88.5714;-18.8442;25.2427;-48.9583
-92.0635;1.5345;20.0969;-50.7614
-152.7027;-9.7187;33.0723;-40.8000
-126.9841;-11.3924;39.5531;-36.7876
-166.1290;-0.7426;42.8053;-27.3684
-133.3333;1.7857;37.8606;-28.0423
-112.9032;-8.3333;39.8076;-18.9974
-107.2464;-3.8265;35.2941;-47.4531
-245.7143;12.7877;33.1126;-25.1323
-175.0000;25.1889;22.0420;-23.5294
-175.0000;-2.4510;34.3580;-34.1463
-108.6207;7.4519;40.3974;-17.5342
-221.5385;9.0439;38.7425;-36.7725
-220.8333;26.4781;43.1832;-35.2941
-107.5472;-0.9926;38.1209;-59.2493
-100.0000;12.2195;36.1460;-48.8950
-179.6610;-3.9801;39.6261;-38.5827
-162.6866;-0.4938;39.9160;2.7624
-86.1538;-31.6708;32.5721;-36.7568
-101.4085;-17.7616;28.7343;-34.7578
-136.9231;-14.5833;31.1681;-59.2493
-138.3333;-14.7583;38.0924;-53.2033
-195.5224;-7.7889;44.1124;-42.8177
-170.4918;3.0227;52.7164;-34.8774
-182.8571;3.5088;46.1171;-57.1429
-250.0000;0.5025;46.8694;-56.2674
-193.3333;-24.6851;49.7596;-39.0110
-175.0000;-3.5623;51.7200;-15.7895
-129.8507;-10.0000;52.6032;-6.3536
-134.4262;-19.7468;50.1788;-17.2131
-201.3699;-8.0605;48.8372;-24.6459
-186.3014;-16.5375;47.7124;-10.9244
-26.2295;-44.3069;38.6350;-54.0000
-107.2464;-44.0806;51.6340;-59.8291
-170.4918;-31.6708;44.0568;-17.2911
-83.3333;-37.8446;45.3216;-37.9009
-103.7037;-27.9703;44.2546;-30.7246
-170.1754;-39.2060;40.9440;-53.0435
-186.0000;-43.2432;44.9028;-20.8092
-146.2687;-22.8571;44.8052;-49.1525
-123.4375;-16.8394;50.0000;-54.4944
-116.9014;-38.8889;49.9409;-29.0323
-120.0000;-38.5604;44.1331;-32.7586
-48.0769;-50.6460;40.1754;-31.6239
-211.6667;-54.2857;41.3934;-7.7810
-232.0755;-57.5377;46.0595;-50.5952
-134.4262;-53.5533;48.8523;-33.5260
-131.5789;-33.3333;48.4476;-35.8824
-169.3878;-32.6633;46.6082;-25.0729
-116.9014;-64.8579;43.4249;-46.2236
-137.8378;-41.1765;52.3140;-30.7246
-211.3208;-33.2474;52.3140;-50.0000
-266.6667;-33.9378;52.3977;-25.7143
-188.5246;-52.9412;47.1031;-10.3245
-206.5574;-73.8342;47.2823;-28.6550
-95.5556;-41.0995;46.9494;-28.1250
-142.3729;-45.2830;53.7653;-26.3305
-102.0408;-62.1053;52.4533;-19.4986
-188.5246;-42.9708;49.5061;-16.1290
-238.4615;-8.8542;50.3759;0.9317
-180.3922;-34.2175;54.7509;-20.8092
-79.0698;-19.6891;53.4493;-27.1676
-187.6923;-29.7587;54.4606;-29.9712
-166.1290;-38.9785;55.3364;-6.1404
-106.2500;-30.4582;46.0473;13.8554
-243.7500;-48.2480;54.0870;12.6471
-180.3922;-40.8000;53.7176;-33.0383
-235.5932;-50.9235;57.3495;-5.3892
-80.5970;-28.8828;54.6194;-49.8551
-148.3871;-38.2199;47.5886;-14.9254
