action = 0;action = 180
-285.0000;79.9576
-215.4412;76.7343
-229.1971;75.7935
-217.7778;75.3488
-227.0270;80.8248
-200.7194;79.5002
-247.7419;76.0768
-232.3741;74.3753
-216.2500;79.3162
-238.4615;74.7985
-266.6667;80.4651
-236.7347;78.4955
-256.1151;77.6366
-245.0980;80.7840
-222.1429;77.1610
-206.4286;73.4322
-205.1095;73.4659
-290.7895;80.7922
-202.5000;82.6068
-187.5817;78.9092
-171.5190;76.5158
-248.4472;77.8965
-280.5031;82.6143
-196.8254;72.6622
-188.6525;74.3535
-184.6154;71.0649
-233.3333;75.3801
-219.0840;73.9975
-208.0000;76.1277
-203.1496;77.2861
-243.2624;75.7524
-245.5128;82.1672
-235.4610;81.3480
-233.0986;78.0746
-226.2069;79.4480
-195.1220;75.0105
-195.8621;77.5796
-206.4286;75.7627
-277.6119;81.4032
-197.2973;77.5510
-182.6389;79.4567
-189.9225;78.1949
-173.1544;78.0094
-247.7941;79.5262
-215.3846;78.9987
-214.2857;78.9630
-245.4545;79.1929
-216.5468;77.6366
-184.8921;76.7048
-236.7347;76.1581
-209.1503;76.5658
-243.7500;77.2766
-189.0511;75.3280
-219.8582;77.1513
-194.7712;77.9719
-203.9474;76.1073
-217.3077;76.5358
-187.9195;75.6699
-264.0288;78.1025
-216.4384;76.6355
-261.6438;82.7103
-207.6923;77.5986
-231.6176;76.7343
-175.0000;77.6271
-241.3793;79.9151
-221.7687;77.5606
-246.4567;75.4319
-248.2014;78.5684
-266.6667;79.8723
-243.2624;75.7524
-194.7712;77.0345
-274.0000;78.4681
-212.1622;78.0187
-208.2803;75.1174
-222.1429;76.6949
-243.7500;77.1222
-275.0000;78.1672
-255.3846;80.5063
-235.1563;79.5953
-197.0803;77.1900
-214.2857;77.6271
-189.8649;75.6803
-196.4072;80.1972
-207.6923;77.1319
-242.7536;77.6461
-193.8931;76.7835
-271.8310;74.3427
-200.7194;76.2389
-264.3312;84.5070
-251.3889;81.3243
-279.3103;80.3822
-261.1940;73.9645
-244.6667;75.6596
-269.0789;78.4497
-256.1151;75.7730
-240.2878;78.1025
-227.8146;80.8003
-266.6667;80.3404
-253.8462;76.1986
-266.6667;77.0345
-238.4615;79.4654
-280.7692;75.8650
-239.0411;77.1028
-226.8116;76.2489
-208.0000;79.8723
-205.5556;77.1222
-213.1387;80.4486
-239.5973;82.2203
-197.9167;81.3243
-233.3333;80.0253
-223.0769;77.5986
-220.1493;78.1488
-256.1151;80.4320
-303.5971;79.9661
-232.2148;79.4130
-210.0671;79.4130
-256.5517;77.1125
-249.2063;73.5889
-259.0278;78.0560
-170.6349;75.9056
-271.6216;82.2279
